;EHParameters
;numberOfBasisFunctions: 300
;Atomlab AtNo Nvalen Nzeta Nquant Ang  IP       exp1       exp2     coeff1   coeff2  
ZN      30      2      2     3     d  -10.000   0.527206   2.315908   0.000008   2.196275
GA      31      3      1     4     s  -10.000   2.011001   0.0000   1.0000   0.0000 
GA      31      3      1     4     p   -7.000   1.617839   0.0000   1.0000   0.0000 
GE      32      4      1     4     s  -10.000   2.263211   0.0000   1.0000   0.0000 
GE      32      4      1     4     p   -7.000   1.859698   0.0000   1.0000   0.0000 
AS      33      5      1     4     s  -10.000   2.462542   0.0000   1.0000   0.0000 
AS      33      5      1     4     p   -7.000   2.052448   0.0000   1.0000   0.0000 
SE      34      6      1     4     s  -10.000   2.603851   0.0000   1.0000   0.0000 
SE      34      6      1     4     p   -7.000   2.187979   0.0000   1.0000   0.0000 
BR      35      7      1     4     s  -10.000   2.747563   0.0000   1.0000   0.0000 
BR      35      7      1     4     p   -7.000   2.321994   0.0000   1.0000   0.0000 
KR      36      8      1     4     s  -10.000   2.801036   0.0000   1.0000   0.0000 
KR      36      8      1     4     p   -7.000   2.375968   0.0000   1.0000   0.0000 
RB      37      1      1     5     s  -10.000   1.220789   0.0000   1.0000   0.0000
RB      37      1      1     5     p   -3.000   0.374380   0.0000   1.0000   0.0000
RB      37      1      2     4     d   -7.000   0.496336   1.710271   3.996439   0.822399
SR      38      2      1     5     s  -10.000   1.340750   0.0000   1.0000   0.0000 
SR      38      2      1     5     p   -3.000   0.517207   0.0000   1.0000   0.0000 
SR      38      2      1     4     d   -7.000   0.635090   2.213849   2.476703   0.969176 
Y       39      3      1     5     s   -7.000   1.460711   0.0000   1.0000   0.0000 
Y       39      3      1     5     p   -3.000   0.478628   0.0000   1.0000   0.0000 
Y       39      3      1     4     d  -10.000   0.555035   2.183579   2.107518   0.855612 
ZR      40      4      1     5     s   -7.000   1.580671   0.0000   1.0000   0.0000 
ZR      40      4      1     5     p   -3.000   0.988008   0.0000   1.0000   0.0000 
ZR      40      4      2     4     d  -10.000   0.527534   2.003386   1.970100   1.498781 
NB      41      5      1     5     s   -7.000   1.670563   0.0000   1.0000   0.0000 
NB      41      5      1     5     p   -3.000   1.035008   0.0000   1.0000   0.0000 
NB      41      5      2     4     d  -10.000   0.574200   2.315978   1.790895   1.210563 
MO      42      6      1     5     s   -7.000   1.733234   0.0000   1.0000   0.0000 
MO      42      6      1     5     p   -3.000   1.625703   0.0000   1.0000   0.0000 
MO      42      6      2     4     d  -10.000   0.536506   2.422384   2.035252   1.237972 
TC      43      7      1     5     s   -7.000   1.792823   0.0000   1.0000   0.0000 
TC      43      7      1     5     p   -3.000   1.718796   0.0000   1.0000   0.0000 
TC      43      7      2     4     d  -10.000   0.565373   2.488641   2.081664    1.654790
RU      44      8      1     5     s   -7.000   1.875697   0.0000   1.0000   0.0000 
RU      44      8      1     5     p   -3.000   1.387973   0.0000   1.0000   0.0000 
RU      44      8      2     4     d  -10.000   0.786233   2.520292   1.273693   2.557240 
RH      45      9      1     5     s   -7.000   1.940834   0.0000   1.0000   0.0000 
RH      45      9      1     5     p   -3.000   1.448122   0.0000   1.0000   0.0000 
RH      45      9      2     4     d  -10.000   0.595925   2.581448   1.510618   1.899981 
PD      46     10      1     5     s   -7.000   2.025704   0.0000   1.0000   0.0000 
PD      46     10      1     5     p   -3.000   1.500623   0.0000   1.0000   0.0000 
PD      46     10      2     4     d  -10.000   0.670094   2.706930   0.877034   1.482471 
AG      47     11      1     5     s   -7.000   2.079598   0.0000   1.0000   0.0000 
AG      47     11      1     5     p   -3.000   1.559465   0.0000   1.0000   0.0000 
AG      47     11      1     4     d  -10.000   1.252589   2.788983   0.317566   1.540176 
CD      48     12      1     5     s   -7.000   2.165696   0.0000   1.0000   0.0000 
CD      48     12      1     5     p   -3.000   1.675763   0.0000   1.0000   0.0000 
CD      48     12      1     4     d  -10.000   0.422275   2.952111   2.200110   1.048571 
IN      49     3       1     5     s  -10.000   2.118550   0.0000   1.0000   0.0000 
IN      49     3       1     5     p   -7.000   1.740947   0.0000   1.0000   0.0000 
SN      50     4       1     5     s  -10.000   2.293511   0.0000   1.0000   0.0000 
SN      50     4       1     5     p   -7.000   1.909329   0.0000   1.0000   0.0000 
SB      51     5       1     5     s  -10.000   2.606718   0.0000   1.0000   0.0000 
SB      51     5       1     5     p   -7.000   2.189100   0.0000   1.0000   0.0000 
TE      52     6       1     5     s  -10.000   2.723071   0.0000   1.0000   0.0000 
TE      52     6       1     5     p   -7.000   2.308011   0.0000   1.0000   0.0000 
I       53     7       1     5     s  -10.000   2.854851   0.0000   1.0000   0.0000 
I       53     7       1     5     p   -7.000   2.435386   0.0000   1.0000   0.0000 
XE      54     8       1     5     s  -10.000   2.888075   0.0000   1.0000   0.0000 
XE      54     8       1     5     p   -7.000   2.488795   0.0000   1.0000   0.0000 
CS      55     1       1     6     s  -10.000   1.582495   0.0000   1.0000   0.0000 
CS      55     1       1     6     p   -3.000   2.088303   0.0000   1.0000   0.0000 
BA      56     2       1     6     s  -10.000   1.583879   0.0000   1.0000   0.0000 
BA      56     2       1     6     p   -3.000   2.171974   0.0000   1.0000   0.0000 
BA      56     2       1     5     d   -7.000   0.769348   2.331612   1.606572   0.737765 
LA      57     3       1     6     s   -7.000   1.585264   0.0000   1.0000   0.0000 
LA      57     3       1     6     p   -3.000   2.255645   0.0000   1.0000   0.0000 
LA      57     3       2     5     d  -10.000   0.793984   2.499550   1.459186   0.747428 
LA      57     3       2     4     f   -5.000   0.204058   2.315306   2.099396   1.513016 
CE      58     4       1     6     s   -5.000   1.586648   0.0000   1.0000   0.0000 
CE      58     4       1     6     p   -3.000   1.008433   0.0000   1.0000   0.0000 
CE      58     4       1     5     d  -10.000   0.861776   2.185814   1.637674   1.517998
CE      58     4       1     4     f   -7.000   0.234407   1.866260   4.196012   1.181565

PR      59     5       1     6     s   -7.000   1.611790   0.0000   1.0000   0.0000 
PR      59     5       1     6     p   -3.000   1.562551   0.0000   1.0000   0.0000 
PR      59     5       1     5     d  -10.000   0.745038   2.504876   2.200758   1.055402  
ND      60     6       1     6     s   -7.000   1.636933   0.0000   1.0000   0.0000 
ND      60     6       1     6     p   -3.000   1.618752   0.0000   1.0000   0.0000 
ND      60     6       1     5     d  -10.000   0.784601   2.524242   1.725767   0.951561
PM      61     7       1     6     s   -7.000   1.662075   0.0000   1.0000   0.0000 
PM      61     7       1     6     p   -3.000   0.782919   0.0000   1.0000   0.0000 
PM      61     7       1     5     d  -10.000   0.761147   2.528618   1.574568   0.805260 
SM      62     8       1     6     s   -7.000   1.687217   0.0000   1.0000   0.0000 
SM      62     8       1     6     p   -3.000   1.625054   0.0000   1.0000   0.0000 
SM      62     8       2     5     d  -10.000   0.829042   2.492654   2.149629   0.997777 
EU      63     9       1     6     s   -7.000   1.712360   0.0000   1.0000   0.0000 
EU      63     9       1     6     p   -3.000   0.513608   0.0000   1.0000   0.0000 
EU      63     9       1     5     d  -10.000   0.681006   2.157792   1.767884   1.196325 
GD      64     10      1     6     s   -7.000   1.829944   0.0000   1.0000   0.0000 
GD      64     10      1     6     p   -3.000   0.627643   0.0000   1.0000   0.0000 
GD      64     10      2     5     d  -10.000   0.593889   2.372038   1.997234   0.667022 
TB      65     11      1     6     s   -7.000   1.856014   0.0000   1.0000   0.0000 
TB      65     11      1     6     p   -3.000   0.620841   0.0000   1.0000   0.0000 
TB      65     11      1     5     d  -10.000   0.886617   2.454925   1.495028   1.297177 
DY      66     12      1     6     s   -7.000   1.879440   0.0000   1.0000   0.0000 
DY      66     12      1     6     p   -3.000   0.606429   0.0000   1.0000   0.0000 
DY      66     12      1     5     d  -10.000   1.003398   2.497901   1.072132   1.087827 
HO      67     13      1     6     s   -7.000   1.903055   0.0000   1.0000   0.0000 
HO      67     13      1     6     p   -3.000   0.589964   0.0000   1.0000   0.0000 
HO      67     13      1     5     d  -10.000   1.196878   2.593773   0.834799   0.905168 
ER      68     14      1     6     s   -7.000   1.923472   0.0000   1.0000   0.0000 
ER      68     14      1     6     p   -3.000   0.578557   0.0000   1.0000   0.0000 
ER      68     14      1     5     d  -10.000   0.573340   2.353352   0.662178   0.195576 
TM      69     15      1     6     s   -7.000   1.944693   0.0000   1.0000   0.0000 
TM      69     15      1     6     p   -3.000   0.565625   0.0000   1.0000   0.0000 
TM      69     15      1     5     d  -10.000   0.577834   2.345774   1.067049   0.322703 
YB      70     16      1     6     s   -7.000   1.898618   0.0000   1.0000   0.0000 
YB      70     16      1     6     p   -3.000   0.566010   0.0000   1.0000   0.0000 
YB      70     16      2     5     d  -10.000   0.911065   2.467122   1.297333   0.469341 
LU      71     17      1     6     s   -7.000   2.026001   0.0000   1.0000   0.0000 
LU      71     17      1     6     p   -3.000   0.621305   0.0000   1.0000   0.0000 
LU      71     17      2     5     d  -10.000   0.943219   2.477175   1.367228   1.177759 
HF      72     4       1     6     s   -7.000   2.058378   0.0000   1.0000   0.0000 
HF      72     4       1     6     p   -3.000   1.407755   0.0000   1.0000   0.0000 
HF      72     4       1     5     d  -10.000   1.315594   2.887927   0.363474   0.377102 
TA      73     5       1     6     s   -7.000   2.120564   0.0000   1.0000   0.0000 
TA      73     5       1     6     p   -3.000   1.654846   0.0000   1.0000   0.0000 
TA      73     5       2     5     d  -10.000   0.818876   2.655920   2.034779   1.557278 
W       74     6       1     6     s   -7.000   2.220140   0.0000   1.0000   0.0000 
W       74     6       1     6     p   -3.000   1.910224   0.0000   1.0000   0.0000 
W       74     6       2     5     d  -10.000   0.753708   2.794688   1.716222   1.020458 
RE      75     7       1     6     s   -7.000   2.321055   0.0000   1.0000   0.0000 
RE      75     7       1     6     p   -3.000   1.969623   0.0000   1.0000   0.0000 
RE      75     7       2     5     d  -10.000   1.111103   3.022930   0.772989   1.034148 
OS      76     8       1     6     s   -7.000   2.372426   0.0000   1.0000   0.0000 
OS      76     8       1     6     p   -3.000   1.793455   0.0000   1.0000   0.0000 
OS      76     8       2     5     d  -10.000   0.693757   2.969067   2.071311   1.026248 
IR      77     9       1     6     s   -7.000   2.427836   0.0000   1.0000   0.0000 
IR      77     9       1     6     p   -3.000   1.826549   0.0000   1.0000   0.0000 
IR      77     9       2     5     d  -10.000   0.643802   2.945609   2.232089   1.076656 
PT      78     10      1     6     s   -7.000   2.527887   0.0000   1.0000   0.0000 
PT      78     10      1     6     p   -3.000   1.894722   0.0000   1.0000   0.0000 
PT      78     10      2     5     d  -10.000   0.714973   3.099921   1.576716   0.956136 
AU      79     11      1     6     s   -7.000   2.571008   0.0000   1.0000   0.0000 
AU      79     11      1     6     p   -3.000   1.935752   0.0000   1.0000   0.0000 
AU      79     11      2     5     d  -10.000   0.741844   3.135661   1.166730   0.889816 
HG      80     12      1     6     s   -7.000   2.650556   0.0000   1.0000   0.0000 
HG      80     12      1     6     p   -3.000   2.028762   0.0000   1.0000   0.0000 
HG      80     12      2     5     d  -10.000   0.624733   3.208542   1.788730   0.975926 
TL      81     3       1     6     s  -10.000   2.470503   0.0000   1.0000   0.0000 
TL      81     3       1     6     p   -7.000   1.991451   0.0000   1.0000   0.0000 
PB      82     4       1     6     s  -10.000   2.656227   0.0000   1.0000   0.0000 
PB      82     4       1     6     p   -7.000   2.164111   0.0000   1.0000   0.0000 
BI      83     5       1     6     s  -10.000   2.847450   0.0000   1.0000   0.0000 
BI      83     5       1     6     p   -7.000   2.339514   0.0000   1.0000   0.0000 
PO      84     6       1     6     s   -0.000   0.0000   0.0000   1.0000   0.0000 
PO      84     6       1     6     p   -0.000   0.0000   0.0000   1.0000   0.0000 
AT      85     7       1     6     s   -0.000   0.0000   0.0000   1.0000   0.0000 
AT      85     7       1     6     p   -0.000   0.0000   0.0000   1.0000   0.0000 
RN      86     8       1     6     s   -0.000   0.0000   0.0000   1.0000   0.0000 
RN      86     8       1     6     p   -0.000   0.0000   0.0000   1.0000   0.0000 
FR      87     1       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
FR      87     1       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
RA      88     2       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
RA      88     2       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000
AC      89     3       1     7     s   -5.000   1.920034   0.0000   1.0000   0.0000 
AC      89     3       1     7     p   -3.000   0.902683   0.0000   1.0000   0.0000 
AC      89     3       1     6     d  -10.000   0.928908   2.439746   1.576864   1.075456
AC      89     3       1     5     f   -7.000   0.559570   2.232725   2.167963   1.246645
TH      90     0       1     7     s   -5.000   1.972647   0.0000   1.0000   0.0000 
TH      90     0       1     7     p   -3.000   1.729200   0.0000   1.0000   0.0000 
TH      90     0       2     6     d  -10.000   0.864878   2.440685   2.156274   1.349211 
TH      90     0       2     5     f   -7.000   0.459461   2.291643   3.145788   1.331615 
PA      91     0       1     7     s   -5.000   2.084153   0.0000   1.0000   0.0000 
PA      91     0       1     7     p   -3.000   1.742004   0.0000   1.0000   0.0000 
PA      91     0       1     6     d  -10.000   0.783779   2.582146   2.381364   1.054682
PA      91     0       1     5     f   -7.000   0.382723   2.529159   3.648382   1.301798 
U       92     0       1     7     s   -5.000   2.195659   0.0000   1.0000   0.0000 
U       92     0       1     7     p   -3.000   1.754808   0.0000   1.0000   0.0000 
U       92     0       2     6     d  -10.000   0.474941   2.369037   2.017543   0.628875 
U       92     0       2     5     f   -7.000   0.361033   2.599481   3.165843   1.588993 
NP      93     0       1     7     s   -5.000   2.307165   0.0000   1.0000   0.0000 
NP      93     0       1     7     p   -3.000   1.767612   0.0000   1.0000   0.0000 
NP      93     0       1     6     d  -10.000   0.928348   2.504201   0.106626   0.132637 
NP      93     0       1     5     f   -7.000   0.278041   2.636355   4.100459   1.036528 
PU      94     0       1     7     s   -5.000   2.418671   0.0000   1.0000   0.0000 
PU      94     0       1     7     p   -3.000   1.780416   0.0000   1.0000   0.0000 
PU      94     0       1     6     d  -10.000   1.060298   2.815564   0.001859   0.001426
PU      94     0       1     5     f   -7.000   0.426227   2.967294   2.850708   0.984260 
AM      95     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
AM      95     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
AM      95     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
AM      95     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
CM      96     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
CM      96     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
CM      96     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
CM      96     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
BK      97     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
BK      97     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
BK      97     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
BK      97     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
CF      98     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
CF      98     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
CF      98     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
CF      98     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
ES      99     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
ES      99     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
ES      99     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
ES      99     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
FM     100     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
FM     100     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
FM     100     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
FM     100     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
MD     101     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
MD     101     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
MD     101     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
MD     101     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
NO     102     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
NO     102     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
NO     102     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
NO     102     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
LR     103     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
LR     103     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
LR     103     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
LR     103     0       1     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
UNQ    104     0       1     7     s   -0.000   0.0000   0.0000   1.0000   0.0000 
UNQ    104     0       1     7     p   -0.000   0.0000   0.0000   1.0000   0.0000 
UNQ    104     0       1     6     d   -0.000   0.0000   0.0000   1.0000   0.0000 
UNQ    104     0       2     5     f   -0.000   0.0000   0.0000   1.0000   0.0000 
	              
